layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2.25,leo,0,6,11.4518,0,0,190,0.251467,0.248179,4.72034,0.0944915,2.02871,2.33576,1.77288
around,2.25,leo,0,7,11.1403,2,2,188,0.248179,0.248727,5.24026,0.111474,1.71352,1.99277,1.58534
around,2.25,leo,0,8,10.9109,2,8,182,0.244891,0.249823,5.30615,0.110526,1.69261,1.83818,1.46877
around,2.25,leo,0,9,10.3063,2,2,188,0.248179,0.249275,5.30286,0.102188,1.4996,1.61508,1.28913
around,2.25,leo,0,10,10.7762,5,18,172,0.249275,0.251467,6.09559,0.128824,1.32267,1.51697,1.21146
around,2.25,leo,0,11,10.4756,0,0,190,0.250919,0.252015,4.78884,0.088039,1.76523,1.84164,1.48893
around,2.25,leo,0,12,11.3855,5,5,185,0.251467,0.254207,6.3723,0.136922,1.37494,1.64655,1.34908
around,2.25,leo,0,13,11.7955,5,5,185,0.253659,0.250371,6.32134,0.171303,1.60365,1.69403,1.50114
around,2.25,leo,0,14,10.3957,0,0,190,0.253659,0.247083,4.74116,0.111004,1.68447,1.83285,1.52553
around,2.25,leo,0,15,11.2319,2,8,182,0.248727,0.242151,5.35008,0.131203,1.7999,1.87918,1.58066
around,2.25,leo,0,16,10.6336,2,2,188,0.249275,0.249823,5.39561,0.0955875,1.56208,1.76694,1.31428
around,2.25,leo,0,17,11.2069,5,6,184,0.252563,0.256947,6.21446,0.131637,1.42711,1.58714,1.33704
around,2.25,leo,0,18,10.4858,2,8,182,0.253659,0.246535,5.37149,0.115196,1.52254,1.62664,1.3497
around,2.25,leo,0,19,11.2801,3,3,187,0.253659,0.244891,5.7109,0.10508,1.76819,1.75548,1.44192
around,2.25,lqi-literal,0,0,13.2965,10,10,180,0.248179,0.253659,7.28598,0.294226,1.75076,1.96284,1.50083
around,2.25,lqi-literal,0,1,12.7641,15,15,175,0.251467,0.246535,8.4655,0.377418,1.17413,1.23726,1.01184
around,2.25,lqi-literal,0,2,10.6004,5,5,185,0.248727,0.248727,5.97603,0.19837,1.33091,1.46311,1.13448
around,2.25,lqi-literal,0,3,11.1215,3,3,187,0.252015,0.247083,5.49063,0.133054,1.72342,1.80852,1.46678
around,2.25,lqi-literal,0,4,12.3472,10,10,180,0.249275,0.247631,7.19994,0.19201,1.50386,1.66256,1.29192
around,2.25,lqi-literal,0,5,9.7154,0,0,190,0.252563,0.247631,4.72691,0.0801129,1.4622,1.66439,1.28159
around,2.25,lqi-literal,0,6,11.4518,0,0,190,0.251467,0.248179,4.72034,0.0944915,2.02871,2.33576,1.77288
around,2.25,lqi-literal,0,7,11.7703,5,5,185,0.248179,0.248727,5.98699,0.183164,1.73896,1.90418,1.46011
around,2.25,lqi-literal,0,8,11.7148,5,5,185,0.244891,0.249823,6.01055,0.182068,1.74666,1.81264,1.4682
around,2.25,lqi-literal,0,9,10.3068,2,2,188,0.248179,0.249275,5.24464,0.104147,1.4749,1.68784,1.29782
around,2.25,lqi-literal,0,10,12.0839,10,17,173,0.249275,0.251467,7.24707,0.234141,1.37102,1.50514,1.22577
around,2.25,lqi-literal,0,11,10.4756,0,0,190,0.250919,0.252015,4.78884,0.088039,1.76523,1.84164,1.48893
around,2.25,lqi-literal,0,12,12.3457,11,11,179,0.251467,0.254207,7.56813,0.27365,1.35887,1.42352,1.21583
around,2.25,lqi-literal,0,13,12.1131,7,7,183,0.253659,0.250371,6.52829,0.205006,1.59185,1.76664,1.51728
around,2.25,lqi-literal,0,14,10.3957,0,0,190,0.253659,0.247083,4.74116,0.111004,1.68447,1.83285,1.52553
around,2.25,lqi-literal,0,15,11.8383,5,5,185,0.248727,0.242151,5.95685,0.203362,1.79238,1.85149,1.54335
around,2.25,lqi-literal,0,16,10.8224,2,2,188,0.249275,0.249823,5.27972,0.103517,1.58335,1.83517,1.52153
around,2.25,lqi-literal,0,17,11.5508,6,7,183,0.252563,0.256947,6.31134,0.168725,1.58646,1.63841,1.33634
around,2.25,lqi-literal,0,18,11.5912,7,7,183,0.253659,0.246535,6.53431,0.20184,1.46233,1.54428,1.34827
around,2.25,lqi-literal,0,19,11.0603,3,3,187,0.253659,0.244891,5.49885,0.101622,1.76953,1.75278,1.43901
around,2.5,hopcount,0,0,15.9023,10,9,181,0.233383,0.238863,6.80045,0.208463,2.78302,3.39097,2.24717
around,2.5,hopcount,0,1,13.48,8,8,182,0.226259,0.226807,6.09475,0.24545,2.18289,2.61111,1.89276
around,2.5,hopcount,0,2,12.1133,5,21,169,0.225711,0.215847,5.39077,0.163285,2.69486,1.89455,1.52828
around,2.5,hopcount,0,3,12.781,5,13,177,0.231191,0.228451,5.47297,0.198536,2.2666,2.54203,1.84124
around,2.5,hopcount,0,4,14.0003,11,10,180,0.228451,0.232287,6.84367,0.284874,2.18494,2.4783,1.74778
