experimentId,scenarioSet,scenarioId,manifestSha256,layout,envFactor,metric,interference,relayCap,run,seedBase,ns3Run,targetId,seq,status,routeFingerprint,routeHopCount
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,7,65,success,12161954516460776928,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,7,66,success,12161954516460776928,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,7,67,success,12161954516460776928,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,7,68,success,12161954516460776928,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,7,69,success,12161954516460776928,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,8,70,success,12161971009135200093,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,8,71,success,12161971009135200093,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,8,72,success,12161971009135200093,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,8,73,success,12161971009135200093,1
LEO_V1_1_REQUALIFICATION_20260920,ofat_comparative,interferenceDb__25p0__lqi,f36d0510e3dbb0d3c9adffa565c74ad2c5026b77fa1cf04b411ba46f49f4c520,triangle,2.5,lqi,1,3,0,42,1,8,74,success,12161971009135200093,1
